HYMNUS_laudes;hy_Vox clara ecce íntonat, ;
ant1;Excita, Dómine, poténtiam tuam, ut salvos fácias nos.;Déploie, Seigneur, ta puissance, et nous serons sauvés.
ant2;Magnífice fecit Dóminus, annuntiáte hoc in univérsa terra.;Le Seigneur a fait des prodiges, annoncez-le par toute la terre.
ant3;Exsultáte Deo adiutóri nostro.;Exultez en Dieu notre secours.
LB_matin;LB_Is 45, 8;
RB_matin;"R/. Super te, Ierúsalem,* Oriétur Dóminus. Super te.
V/. Et glória eius in te vidébitur.* Oriétur Dóminus. Glória Patri. Super te. ";"R/. Sur toi, Jérusalem,* se lève le Seigneur. Sur toi.
V/. Et sa gloire se manifeste en toi.* se lève le Seigneur. Gloire au Père. Sur toi. "
benedictus;Ego auxiliátus sum tibi, dicit Dóminus, et sum redémptor tuus, Sanctus Israel.;"Moi, je viens à ton secours, oracle du Seigneur ; et ton Rédempteur est le Saint d'Israël."
oratio_laudes;Excita, Dómine, corda nostra ad præparándas Unigéniti tui vias, ut, per eius advéntum, purificátis tibi méntibus servíre mereámur. Per Dóminum.;Réveille nos c?urs, Seigneur, pour qu'ils préparent les voies à ton Fils unique, afin que, grâce à son avènement, nous puissions te servir avec des âmes purifiées.
preces_matin;preces_VI;
HYMNUS_tertiam;hy_Nunc, Sancte, nobis, Spíritus;
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant4;Prophétæ prædicavérunt nasci Salvatórem de Vírgine María.;Les prophètes ont prédi la naissance du Sauveurde la Vierge Marie.
ant5;"Gábriel ángelus locútus est Maríæ, dicens: Ave, grátia plena; Dóminus tecum; benedícta tu inter mulíeres.";"L'ange Gabriel s'adressa à Marie en disant : Salut,pleine de grâce ; le Seigneur est avec vous ; vous êtesbénie entre les femmes."
ant6;María dixit: Qualis est ista salutátio? quia conturbáta est ánima mea, et quia paritúra sum Regem, qui claustrum virginitátis meæ non violábit.;Marie dit : quelle est cette salutation ? Mon âmeest troublée, et parce que je suis enceinte du Roi, quin'a pas brisé le sceau de ma virginité.
LB_3;LB_Mic 5, 3 4a;
RB_3;"V/. Timébunt gentes nomen tuum, Dómine.
R/. Et omnes reges terræ glóriam tuam.";"V/. Les nations craindront ton nom, Seigneur
R/. Et tous les rois de la terre, ta gloire."
oratio_3;Excita, Dómine, corda nostra ad præparándas Unigéniti tui vias, ut, per eius advéntum, purificátis tibi méntibus servíre mereámur. Per Dóminum.;Réveille nos c?urs, Seigneur, pour qu'ils préparent les voies à ton Fils unique, afin que, grâce à son avènement, nous puissions te servir avec des âmes purifiées.
LB_6;LB_Ag 2, 6b. 9;
RB_6;"V/. Meménto nostri, Dómine, in beneplácito pópuli tui.
R/. Vísita nos in salutári tuo.";"V/. Souviens-toi, Seigneur , dans ta bonté pour tonpeuple,
R/. Visite-nous avec ton secours."
oratio_6;Excita, Dómine, corda nostra ad præparándas Unigéniti tui vias, ut, per eius advéntum, purificátis tibi méntibus servíre mereámur. Per Dóminum.;Réveille nos c?urs, Seigneur, pour qu'ils préparent les voies à ton Fils unique, afin que, grâce à son avènement, nous puissions te servir avec des âmes purifiées.
LB_9;LB_Mal 3, 20-21b;
RB_9;"V/. Veni, Dómine, et noli tardáre.
R/. Reláxa facínora plebi tuæ.";"V/. Viens, Seigneur, ne tarde pas.
R/. Remets à ton peuple ses péchés."
oratio_9;Excita, Dómine, corda nostra ad præparándas Unigéniti tui vias, ut, per eius advéntum, purificátis tibi méntibus servíre mereámur. Per Dóminum.;Réveille nos c?urs, Seigneur, pour qu'ils préparent les voies à ton Fils unique, afin que, grâce à son avènement, nous puissions te servir avec des âmes purifiées.
HYMNUS_vesperas;hy_Cónditor alme síderum;
ant7;Pósui te in lucem géntium, ut sis salus mea usque ad extrémum terræ.;Je t'ai établi à la lumière des nations, afin que tu sois pour le salut jusqu'aux extrémités de la terre.
ant8;"Salvos fáciet Dóminus fílios páuperum; ex oppressióne rédimet ánimas eórum.";"Le Seigneur a donné le salut aux fils des pauvres ; il a délivré leurs âmes de l'oppression."
ant9;Nunc facta est salus et regnum Dei nostri.;Maintenant est accompli le salut et le règne de notre Dieu.
LB_soir;LB_Iac 5, 7-8. 9b;
RB_soir;"R/. Veni ad liberándum nos,* Dómine Deus virtútum. Veni.
V/. Osténde fáciem tuam, et salvi érimus.* Dómine Deus virtútum. Glória Patri. Veni. ";"R/. Viens nous libérer,* Seigneur, Dieu de force. Viens.
V/. Montre-nous ta face, et nous serons sauvés. * Seigneur, Dieu de force. Gloire au Père. Viens. "
magnificat;Qui post me véniet, ante me factus est: cuius non sum dignus calceaménta sólvere.;Celui qui vient après moi, est passé devant moi : je ne suis pas digne de délier la courroie de sa chaussure.
oratio_vesperas;Excita, Dómine, corda nostra ad præparándas Unigéniti tui vias, ut, per eius advéntum, purificátis tibi méntibus servíre mereámur. Per Dóminum.;Réveille nos c?urs, Seigneur, pour qu'ils préparent les voies à ton Fils unique, afin que, grâce à son avènement, nous puissions te servir avec des âmes purifiées.
preces_soir;preces_VII;
