HYMNUS_laudes;hy_Vox clara ecce íntonat, ;
ant1;Díligam te, Dómine, virtus mea. ;Je t'aime, Seigneur, ma force. 
ant2;Salvum me fecit Dóminus, quóniam vóluit me. ;Le Seigneur m'a donné le salut, parce qu'il s'estcomplu en moi. 
ant3;"Tu, Dómine, accénde lucérnam meam;illuminábis ténebras meas. ";"Toi, Seigneur, tu fais briller mon flambeau ;éclaire mes ténèbres."
LB_matin;LB_Is 7, 14b-15;
RB_matin;"R/. Super te, Ierúsalem,* Oriétur Dóminus. Super te.
V/. Et glória eius in te vidébitur.* Oriétur Dóminus.Glória Patri. Super te.";"R/. Sur toi, Jérusalem,* se lève le Seigneur. Sur toi.
V/. Et sa gloire se manifeste en toi.* se lève leSeigneur. Gloire au Père. Sur toi."
benedictus;Véniet fórtior me post me, cuiusnon sum dignus sólvere corrígiam calceamentórum. ;Il vient après moi, celui qui estplus puissant que moi, dont je ne suis pas digne dedélier la courroie de ses sandales. 
oratio_laudes;Præpara, quæsumus, Dómine Deus noster, cordanostra divína tua virtúte, ut, veniénte Christo Filio tuo,digni inveniámur ætérnæ vitæ convívio, et cibum cæléstem, ipso ministránte, percípere méreamur. PerDóminum ;Seigneur notre Dieu, nous t'en prions, prépare nos coeurs par ta force divine, afin qu'à la venue du Christ ton Fils, nous soyons trouvés dignes du banquet de la vie éternelle, et recevions de sa main la nourriture céleste. 
preces_matin;preces_IV;
HYMNUS_tertiam;hy_Nunc, Sancte, nobis, Spíritus;
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant4;Prophétæ prædicavérunt nasci Salvatórem de Vírgine María.;Les prophètes ont prédi la naissance du Sauveurde la Vierge Marie.
