HYMNUS_laudes;hy_Vox clara ecce íntonat, ;
ant1;Quando véniam et apparébo ante fáciem Dómini ?;Quand irai-je et paraitrai-je devant la face de Dieu ?
ant2;Osténde nobis, Dómine, lucem miseratiónum tuárum.;Montre-nous, Seigneur, la lumière de tes miséricordes.
ant3;Benedíctus es, Dómine, in firmaménto cæli.;Tu es béni, Seigneur, au firmament du ciel.
LB_matin;LB_Is 2, 3;
RB_matin;"R/. Super te, Ierúsalem,* Oriétur Dóminus. Super te.
V/. Et glória eius in te vidébitur.* Oriétur Dóminus. Glória Patri. Super te.";"R/. Sur toi, Jérusalem,* se lève le Seigneur. Sur toi.
V/. Et sa gloire se manifeste en toi.* se lève le Seigneur. Gloire au Père. Sur toi."
benedictus;Dicit Dóminus: Pæniténtiam ágite: appropinquávit enim regnum cælórum, allelúia.;"Le Seigneur dit : Repentez-vous, car le royaume des cieux est proche. All&eacute;luia."
oratio_laudes;Dirigátur, quæsumus, Dómine, in conspéctu tuo nostræ petitiónis orátio, ut ad magnum incarnatiónis Unigéniti tui mystérium, nostræ vota servitútis illibáta puritáte pervéniant. Per Dóminum.;Que monte en ta présence, nous t'en prions, Seigneur, notre prière qui t'implore, afin que les désirs de tes serviteurs se portent dans une pureté sans faille vers le grand mystère de l'incarnation de ton fils unique.
preces_matin;preces_IV;
HYMNUS_tertiam;hy_Nunc, Sancte, nobis, Spíritus;
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant4;Prophétæ prædicavérunt nasci Salvatórem de Vírgine María.;Les prophètes ont prédi la naissance du Sauveur de la Vierge Marie.
ant5;"Gábriel ángelus locútus est Maríæ, dicens: Ave, grátia plena; Dóminus tecum; benedícta tu inter mulíeres.";"L'ange Gabriel s'adressa à Marie en disant : Salut, pleine de grâce ; le Seigneur est avec vous ; vous êtes bénie entre les femmes."
ant6;María dixit: Qualis est ista salutátio? quia conturbáta est ánima mea, et quia paritúra sum Regem, qui claustrum virginitátis meæ non violábit.;Marie dit : quelle est cette salutation ? Mon âme est troublée, et parce que je suis enceinte du Roi, qui n'a pas brisé le sceau de ma virginité.
LB_3;LB_Cf. Is 10, 20-21;
RB_3;"V/. Timébunt gentes nomen tuum, Dómine.
R/. Et omnes reges terræ glóriam tuam.";"V/. Les nations craindront ton nom, Seigneur
R/. Et tous les rois de la terre, ta gloire."
oratio_3;Dirigátur, quæsumus, Dómine, in conspéctu tuo nostræ petitiónis orátio, ut ad magnum incarnatiónis Unigéniti tui mystérium, nostræ vota servitútis illibáta puritáte pervéniant. Per Dóminum.;Que monte en ta présence, nous t'en prions, Seigneur, notre prière qui t'implore, afin que les désirs de tes serviteurs se portent dans une pureté sans faille vers le grand mystère de l'incarnation de ton fils unique.
LB_6;LB_Cf. Is 10, 24. 27;
RB_6;"V/. Meménto nostri, Dómine, in beneplácito pópuli tui.
R/. Vísita nos in salutári tuo.";"V/. Souviens-toi, Seigneur , dans ta bonté pour ton peuple,
R/. Visite-nous avec ton secours."
oratio_6;Dirigátur, quæsumus, Dómine, in conspéctu tuo nostræ petitiónis orátio, ut ad magnum incarnatiónis Unigéniti tui mystérium, nostræ vota servitútis illibáta puritáte pervéniant. Per Dóminum.;Que monte en ta présence, nous t'en prions, Seigneur, notre prière qui t'implore, afin que les désirs de tes serviteurs se portent dans une pureté sans faille vers le grand mystère de l'incarnation de ton fils unique.
LB_9;LB_Cf. Is 13, 22 - 14, 1;
RB_9;"V/. Veni, Dómine, et noli tardáre.
R/. Reláxa facínora plebi tuæ.";"V/. Viens, Seigneur, ne tarde pas.
R/. Remets à ton peuple ses péchés."
oratio_9;Dirigátur, quæsumus, Dómine, in conspéctu tuo nostræ petitiónis orátio, ut ad magnum incarnatiónis Unigéniti tui mystérium, nostræ vota servitútis illibáta puritáte pervéniant. Per Dóminum.;Que monte en ta présence, nous t'en prions, Seigneur, notre prière qui t'implore, afin que les désirs de tes serviteurs se portent dans une pureté sans faille vers le grand mystère de l'incarnation de ton fils unique.
HYMNUS_vesperas;hy_Cónditor alme síderum;
ant7;Speciósus forma præ fíliis hóminum, diffúsa est grátia in lábiis tuis.;Tu es le plus beau des fils de l'homme, la grâce est répandue sur tes lèvres.
ant8;Ecce Sponsus venit: exíte óbviam ei.;Voici l'époux : sortez à sa rencontre.
ant9;Propósuit Deus in plenitúdine témporum instauráre ómnia in Christo.;Dieu s'est proposé, dans la plénitude des temps, de tout restaurer dans le Christ.
LB_soir;LB_Phil 3, 20b-21;
RB_soir;"R/. Veni ad liberándum nos, * Dómine Deus virtútum. Veni.
V/. Osténde fáciem tuam, et salvi érimus. * Dómine Deus virtútum. Glória Patri. Veni.";"R/. Viens pour nous libérer, * Seigneur Dieu des armées. Viens.
V/. Montre-nous ton visage et nous serons sauvés. * Seigneur Dieu des armées. Gloire au Père. Viens."
magnificat;Ecce Rex venit, Dóminus terræ, et ipse áuferet iugum captivitátis nostræ.;Voici le Roi qui vient, le Seigneur de la terre, il secouera le joug de notre captivité.
oratio_vesperas;Dirigátur, quæsumus, Dómine, in conspéctu tuo nostræ petitiónis orátio, ut ad magnum incarnatiónis Unigéniti tui mystérium, nostræ vota servitútis illibáta puritáte pervéniant. Per Dóminum.;Que monte en ta présence, nous t'en prions, Seigneur, notre prière qui t'implore, afin que les désirs de tes serviteurs se portent dans une pureté sans faille vers le grand mystère de l'incarnation de ton fils unique.
preces_soir;preces_V;
