HYMNUS_laudes;hy_Vox clara ecce íntonat, ;
ant1;Annuntiámus mane misericórdiam tuam, Dómine, et veritátem tuam per noctem. ;Le matin, annonçons ta miséricorde, Seigneur, et ta vérité pendant la nuit. 
ant2;Date magnificéntiam Deo nostro. ;Procurez de la magnificence à notre Dieu. 
ant3;Quam admirábile est nomen tuum, Dómine, in univérsa terra. ;Combien est admirable ton nom, Seigneur, sur toute la terre. 
LB_matin;LB_Is 11, 1-3a;
RB_matin;"R/. Super te, Ierúsalem,* Oriétur Dóminus. Super te.
V/. Et glória eius in te vidébitur. * Oriétur Dóminus.Glória Patri. Super te. ";"R/. Sur toi, Jérusalem,* se lève le Seigneur. Sur toi.
V/. Et sa gloire se manifeste en toi. * se lève leSeigneur. Gloire au Père. Sur toi. "
benedictus;Levábit Dóminus signum in nationibus, et congregábit dispérsos Israel. ;Le Seigneur élèvera un étendard pour les nations, et il rassemblera les bannis d'Israël. 
oratio_laudes;Oriátur, quæsumus, omnípotens Deus, in córdibus nostris splendor glóriæ tuæ, ut, omni noctis obscuritáte subláta, fílios nos esse lucis Unigéniti tui maniféstet advéntus. Per Dóminum. ;"Que se lève en nos c&oelig;urs, Dieu tout puissant, la splendeur de ta gloire, en sorte que, chassant toutes les ténèbres de la nuit, la venue de ton Fils unique nous fasse apparaître fils de lumière. "
preces_matin;preces_XIV;
HYMNUS_tertiam;hy_Nunc, Sancte, nobis, Spíritus;
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant4;Prophétæ prædicavérunt nasci Salvatórem de Vírgine María.;Les prophètes ont prédi la naissance du Sauveurde la Vierge Marie.
ant5;"Gábriel ángelus locútus est Maríæ, dicens: Ave, grátia plena; Dóminus tecum; benedícta tu inter mulíeres.";"L'ange Gabriel s'adressa à Marie en disant : Salut,pleine de grâce ; le Seigneur est avec vous ; vous êtesbénie entre les femmes."
ant6;María dixit: Qualis est ista salutátio? quia conturbáta est ánima mea, et quia paritúra sum Regem, qui claustrum virginitátis meæ non violábit.;Marie dit : quelle est cette salutation ? Mon âmeest troublée, et parce que je suis enceinte du Roi, quin'a pas brisé le sceau de ma virginité.
LB_3;LB_Is 4, 2;
RB_3;"V/. Timébunt gentes nomen tuum, Dómine.
R/. Et omnes reges terræ glóriam tuam.";"V/. Les nations craindront ton nom, Seigneur
R/. Et tous les rois de la terre, ta gloire."
oratio_3;Oriátur, quæsumus, omnípotens Deus, in córdibus nostris splendor glóriæ tuæ, ut, omni noctis obscuritáte subláta, fílios nos esse lucis Unigéniti tui maniféstet advéntus. Per Dóminum. ;"Que se lève en nos c&oelig;urs, Dieu tout puissant, la splendeur de ta gloire, en sorte que, chassant toutes les ténèbres de la nuit, la venue de ton Fils unique nous fasse apparaître fils de lumière. "
LB_6;LB_Is 4, 3;
RB_6;"V/. Meménto nostri, Dómine, in beneplácito pópuli tui.
R/. Vísita nos in salutári tuo.";"V/. Souviens-toi, Seigneur , dans ta bonté pour tonpeuple,
R/. Visite-nous avec ton secours."
oratio_6;Oriátur, quæsumus, omnípotens Deus, in córdibus nostris splendor glóriæ tuæ, ut, omni noctis obscuritáte subláta, fílios nos esse lucis Unigéniti tui maniféstet advéntus. Per Dóminum. ;"Que se lève en nos c&oelig;urs, Dieu tout puissant, la splendeur de ta gloire, en sorte que, chassant toutes les ténèbres de la nuit, la venue de ton Fils unique nous fasse apparaître fils de lumière. "
LB_9;LB_Is 61, 11;
RB_9;"V/. Veni, Dómine, et noli tardáre.
R/. Reláxa facínora plebi tuæ.";"V/. Viens, Seigneur, ne tarde pas.
R/. Remets à ton peuple ses péchés."
oratio_9;Oriátur, quæsumus, omnípotens Deus, in córdibus nostris splendor glóriæ tuæ, ut, omni noctis obscuritáte subláta, fílios nos esse lucis Unigéniti tui maniféstet advéntus. Per Dóminum. ;"Que se lève en nos c&oelig;urs, Dieu tout puissant, la splendeur de ta gloire, en sorte que, chassant toutes les ténèbres de la nuit, la venue de ton Fils unique nous fasse apparaître fils de lumière. "
HYMNUS_vesperas;hy_Cónditor alme síderum;
ant7;Ierúsalem, gaude gáudio magno, quia véniet tibi Salvátor, allelúia. ;Grande joie pour Jérusalem, car voici que vient ton Seigneur, alléluia. 
ant8;"Ego Dóminus prope feci iustítiam meam; non elongábitur, et salus mea non morábitur. ";"Moi, le Seigneur, j'ai rendu ma justice proche ; je ne tarderai pas, et mon salut ne sera pas remis à plus tard. "
ant9;Emítte Agnum, Dómine, dominatórem terræ, de Petra desérti, ad montem fíliæ Sion. ;Envoie, l'Agneau, Seigneur, le dominateur de la terre, du désert de Pétra, à la montagne de Sion. 
LB_soir;LB_1Th 5, 23-24;
RB_soir;"R/. Osténde nobis, Dómine, * Misericórdiam tuam. Osténde.
V/. Et salutáre tuum da nobis. * Misericórdiam tuam. Glória Patri. Osténde. ";"R/. Montre-nous, Seigneur, * ta miséricorde. Montre-nous.
V/. Et donne-nous ton salut, * ta miséricorde. Gloire au Père. Montre-nous. "
magnificat;;
oratio_vesperas;;
preces_soir;preces_I;
