HYMNUS_laudes;hy_Vox clara ecce íntonat, ;
ant1;Beáti qui hábitant in domo tua, Dómine.;Heureux ceux qui habitent dans ta maison, Seigneur.
ant2;Veníte, et ascendámus ad montem Dómini.;Venez, montons à la montagne du Seigneur.
ant3;Cantáte Dómino, benedícite nómini eius.;Chantez le Seigneur, et bénissez son nom.
LB_matin;LB_Is 2, 3;
RB_matin;"R/. Super te, Ierúsalem,* Oriétur Dóminus. Super te.
V/. Et glória eius in te vidébitur.* Oriétur Dóminus. Glória Patri. Super te.";"R/. Sur toi, Jérusalem,* se lève le Seigneur. Sur toi.
V/. Et sa gloire se manifeste en toi.* se lève le Seigneur. Gloire au Père. Sur toi."
benedictus;De cælo véniet dominátor Dóminus, et in manu eius honor et impérium.;Du ciel viendra le Seigneur dominateur, et dans sa main l'honneur et le pouvoir.
oratio_laudes;Voci nostræ, quæsumus, Dómine, aures tuæ pietátis accómmoda, et cordis nostri ténebras grátia Fílii tui nos visitántis illústra. Qui tecum.;"Prête l'oreille à nos prières, Seigneur : que la venue de ton fils au milieu de nous éclaire la nuit de nos c&oelig;rs."
preces_matin;preces_IV;
HYMNUS_tertiam;hy_Nunc, Sancte, nobis, Spíritus;
HYMNUS_sextam;hy_Rector_potens_verax_Deus;
HYMNUS_nonam;hy_Rerum_Deus_tenax_vigor;
ant4;Prophétæ prædicavérunt nasci Salvatórem de Vírgine María.;Les prophètes ont prédi la naissance du Sauveur de la Vierge Marie.
ant5;"Gábriel ángelus locútus est Maríæ, dicens: Ave, grátia plena; Dóminus tecum; benedícta tu inter mulíeres.";"L'ange Gabriel s'adressa à Marie en disant : Salut, pleine de grâce ; le Seigneur est avec vous ; vous êtes bénie entre les femmes."
ant6;María dixit: Qualis est ista salutátio? quia conturbáta est ánima mea, et quia paritúra sum Regem, qui claustrum virginitátis meæ non violábit.;Marie dit : quelle est cette salutation ? Mon âme est troublée, et parce que je suis enceinte du Roi, qui n'a pas brisé le sceau de ma virginité.
LB_3;LB_Cf. Is 10, 20-21;
RB_3;"V/. Timébunt gentes nomen tuum, Dómine.
R/. Et omnes reges terræ glóriam tuam.";"V/. Les nations craindront ton nom, Seigneur
R/. Et tous les rois de la terre, ta gloire."
oratio_3;Voci nostræ, quæsumus, Dómine, aures tuæ pietátis accómmoda, et cordis nostri ténebras grátia Fílii tui nos visitántis illústra. Qui tecum.;"Prête l'oreille à nos prières, Seigneur : que la venue de ton fils au milieu de nous éclaire la nuit de nos c&oelig;rs."
LB_6;LB_Cf. Is 10, 24. 27;
RB_6;"V/. Meménto nostri, Dómine, in beneplácito pópuli tui.
R/. Vísita nos in salutári tuo.";"V/. Souviens-toi, Seigneur , dans ta bonté pour ton peuple,
R/. Visite-nous avec ton secours."
oratio_6;Voci nostræ, quæsumus, Dómine, aures tuæ pietátis accómmoda, et cordis nostri ténebras grátia Fílii tui nos visitántis illústra. Qui tecum.;"Prête l'oreille à nos prières, Seigneur : que la venue de ton fils au milieu de nous éclaire la nuit de nos c&oelig;rs."
LB_9;LB_Cf. Is 13, 22 - 14, 1;
RB_9;"V/. Veni, Dómine, et noli tardáre.
R/. Reláxa facínora plebi tuæ.";"V/. Viens, Seigneur, ne tarde pas.
R/. Remets à ton peuple ses péchés."
oratio_9;Voci nostræ, quæsumus, Dómine, aures tuæ pietátis accómmoda, et cordis nostri ténebras grátia Fílii tui nos visitántis illústra. Qui tecum.;"Prête l'oreille à nos prières, Seigneur : que la venue de ton fils au milieu de nous éclaire la nuit de nos c&oelig;rs."
HYMNUS_vesperas;hy_Cónditor alme síderum;
ant7;Oculi nostri semper ad Dóminum, donec misereátur nostri.;Nos yeux sont toujours fixés vers le Seigneur, pour qu'il nous fasse miséricorde.
ant8;Adiutórium nostrum in nómine Dómini, qui fecit cælum et terram.;Notre secours est dans le nom du Seigneur, qui a fait le ciel et la terre.
ant9;In Fílio suo elégit nos Deus in adoptiónem filiórum.;En son Fils, Dieu nous a choisis comme fils adoptifs.
LB_soir;LB_Phil 3, 20b-21;
RB_soir;"R/. Veni ad liberándum nos, * Dómine Deus virtútum. Veni.
V/. Osténde fáciem tuam, et salvi érimus. * Dómine Deus virtútum. Glória Patri. Veni.";"R/. Viens pour nous libérer, * Seigneur Dieu des armées. Viens.
V/. Montre-nous ton visage et nous serons sauvés. * Seigneur Dieu des armées. Gloire au Père. Viens."
magnificat;Beátam me dicent omnes generatiónes, quia ancíllam húmilem respéxit Deus.;Toutes les générations me diront bienheureuse, car Dieu a regardé l'humilité de sa servante.
oratio_vesperas;Voci nostræ, quæsumus, Dómine, aures tuæ pietátis accómmoda, et cordis nostri ténebras grátia Fílii tui nos visitántis illústra. Qui tecum.;"Prête l'oreille à nos prières, Seigneur : que la venue de ton fils au milieu de nous éclaire la nuit de nos c&oelig;rs."
preces_soir;preces_V;
