Hymnus;Hymne
Magnæ cohórtis príncipem;Louons et chantons saint Ignace,
Ignátium laus cóncinat,;le chef d'une troupe nombreuse :
clarum loquélis, áctibus;par sa parole et sa conduite,
ducem ciéntem mílites.;il entraîne ses compagnons.

Regi suprémo cælitum;Enchaîné d'un unique amour,
amóre vinctus único,;au roi souverain, roi du Ciel
eius fovénda glória;rien ne lui apparut plus doux
nil cénsuit iucúndius.;que de travailler pour sa gloire.

Hinc se suósque dévovet,;Il se consacre avec les siens,
urgéntis instar ágminis,;comme une armée pour la bataille,
ut iura Christi víndicet,;à défendre l'honneur du Christ,
erróris umbras díssipet.;à chasser la nuit de l'erreur.

Sancto monénte Spíritu,;Sous l'inspiration de l'Esprit,
certam salútis sémitam;son discernement, sa prudence,
scrutátor altus sæculis;font reconnaître pour tous les temps
doctórque prudens dénotat.;un sûr chemin vers le salut.

Suis alúmnis díssita;Sur tous les rivages du monde,
missis in orbis lítora,;il envoie au loin ses disciples,
Ecclésiam quot éxpetit;dans son désir de voir l'Eglise
frondére lætam géntibus!;porter du fruit chez tant de peuples !

Sit Trinitáti glória,;Gloire soit à la Trinité,
quæ nos det huius mílitis;qu'elle nous accorde de suivre
exémpla fortes pérsequi;l'exemple d'un tel combattant,
in Christi honórem pérpetim. Amen.;pour l'honneur du Christ à jamais.
