Hymnus;Hymne
Te sæculórum príncipem,;1. C'est toi, ô Christ, le Prince des siècles,
te, Christe, regem géntium,;C'est toi, le Roi de tous les peuples,
te méntium, te córdium;Toi que nous avons pour seul juge
unum fatémur árbitrum.;De nos esprits et de nos c?urs.
; 
Quem prona adórant ágmina;2. C'est toi que la troupe céleste
hymnísque laudant cælitum,;"Adore et chante dans ses hymnes ;"
te nos ovántes ómnium;Toi que nos ovations proclament
regem suprémum dícimus.;Suprême Roi de l'univers.
; 
O Christe, princeps pácifer,;3. Ô Christ, Prince artisan de la paix,
mentes rebélles súbice,;Mets sous ton joug nos c?urs rebelles,
tuóque amóre dévios;Réunis en un seul troupeau
ovíle in unum cóngrega.;Ceux qui sont loin de ton amour.
;
Ad hoc cruénta ab árbore;4. Pour nous unir, les bras ouverts,
pendes apértis brácchiis,;Cloué sur l'arbre ensanglanté,
diráque fossum cúspide;Tu montres ton c?ur, tout brûlant
cor igne flagrans éxhibes.;Percé d'une cruelle.
;
Ad hoc in aris ábderis;5. Pour nous unir, tu es caché
vini dapísque imágine,;Sous l'aspect du pain et du vin,
fundens salútem fíliis;Et tu répands de ton coté
transverberáto péctore.;Le salut sur tous tes enfants.
;
Iesu, tibi sit glória,;6. Toute gloire à toi, ô Jésus
qui cuncta amóre témperas,;Qui gouvernes tout par l'amour,
cum Patre et almo Spíritu;Même gloire au Père, à l'Esprit,
in sempitérna sæcula. Amen.;À travers les siècles sans fin ! Amen.
