Hymnus;Hymne
Tristes erant Apóstoli;Les apôtres, dans la tristesse
de nece sui Dómini,;pleuraient la mort de leur Seigneur
quem morte crudelíssima;que la cruauté des impies
sævi damnárant ímpii.;avait condamné au supplice.

Sermóne blando Angelus;Avec des paroles de paix
prædíxit muliéribus:;un ange le prédit aux femmes
«In Galilæa Dóminus;"""C'est en Galilée très bientôt"
vidéndus est quantócius».;"que le Seigneur apparaîtra"""

Illæ dum pergunt cóncitæ;Tandis qu'elles se précipitent
Apóstolis hoc dícere,;pour aller le dire aux Apôtres
vidéntes eum vívere,;elles voient le Seigneur vivant
ósculant pedes Dómini.;et couvrent ses pieds de baisers

Quo ágnito, discípuli;A la nouvelle, les disciples
in Galilæa própere;se hâtent vers la Galilée
pergunt vidére fáciem;ils ont retrouver le visage
desiderátam Dómini.;de leur Seigneur tant désiré.

Esto perénne méntibus;Demeure, ô Jésus, pour nos âmes
paschále, Iesu, gáudium,;"la joie pascale à tout jamais;"
et nos renátos grátiæ;ta grâce nous a fait renaître,
tuis triúmphis ággrega.;emporte-nous dans ton triomphe.

Sit, Christe, tibi glória,;O Christ, à toi soit toute gloire,
qui regno mortis óbruto,;tu ruinas la mort et son règne,
pandísti per Apóstolos;tu nous ouvres par les Apôtres
vitæ lucísque sémitas. Amen.;les voies de lumière et de vie.
