Hymnus;Hymne
Fulgéntis auctor ætheris,;Auteur du ciel resplendissant,
qui lunam lumen nóctibus,;Toi qui fixas sur leurs sentiers
solem diérum cúrsibus;La lune flambeau pour la nuit,
certo fundásti trámite,;Le soleil, parcourant les jours,
;
Nox atra iam depéllitur,;Voici chassée la nuit obscure,
mundi nitor renáscitur,;La splendeur du monde renaît :
novúsque iam mentis vigor;En nos cœur, une force neuve
dulces in actus érigit.;Nous permet d’agir avec joie.
;
Laudes sonáre iam tuas;Le jour revenu nous invite
dies relátus ádmonet,;"A chanter encore ta louange ;"
vultúsque cæli blándior;L’aspect plus souriant du ciel
nostra serénat péctora.;Ramène la paix dans nos âmes.
;
Vitémus omne lúbricum,;Evitons ce qui fait tomber :
declínet prava spíritus,;Du mal détournons nos pensées,
vitam facta non ínquinent,;Rejetons les actes mauvais,
"linguam culpa non ímplicet;";Fermons notre bouche au mensonge.
;
Sed, sol diem dum cónficit,;Pendant la course du soleil,
fides profúnda férveat,;Que nous soyons brûlants de foi,
spes ad promíssa próvocet,;Espérant tout de tes promesses,
Christo coniúngat cáritas.;Unis au Christ en charité.
;
Præsta, Pater piíssime,;Exauce-nous, Père très bon,
Patríque compar Unice,;Et toi, le Fils égal au Père,
cum Spíritu Paráclito;Avec l’Esprit Consolateur,
regnans per omne sæculum. Amen.;Régnant pour les siècles des siècles.
