Hymnus;Hymne

Apostolórum pássio;La passion des deux grands apôtres
diem sacrávit sæculi,;a fait de ce jour une fête
Petri triúmphum nóbilem,;montrant le triomphe de Pierre
Pauli corónam præferens.;et le couronnement de Paul.

Coniúnxit æquáles viros;Le sang de leur mort triomphale
"cruor triumphális necis;";réunit ces héros semblables.
Deum secútos præsulem;Il ont suivi Dieu comme un guide,
Christi coronávit fides.;la foi au Christ les couronna.

"Primus Petrus apóstolus;";Pierre est le premier des apôtres,
nec Paulus impar grátia,;mais Paul n'est pas moins riche en grâce:
electiónis vas sacræ;vase de sainte élection,
Petri adæquávit fidem.;il égala la foi de Pierre

Verso crucis vestígio;Simon, pour rendre gloire à Dieu,
Simon, honórem dans Deo,;monta et resta suspendu
suspénsus ascéndit, dati;"sur une croix mise à l'envers;"
non ímmemor oráculi.;il pensait aux mots de son maître.

Hinc Roma celsum vérticem;Et depuis Rome a dressé
devotiónis éxtulit,;le haut faîte de sa piété,
fundáta tali sánguine;étant fondé par un tel sang,
et vate tanto nóbilis.;ennoblie par un tel héraut.

Huc ire quis mundum putet,;On croit y voir venir le monde,
concúrrere plebem poli:;le peuple du ciel accourir:
elécta géntium caput;toi, l'Elue, tête des nations,
sedes magístri géntium.;siège du maître des nations !

Horum, Redémptor, quæsumus,;Nous t'en prions, ô Rédempteur:
ut príncipum consórtio;unis aux princes des apôtres
iungas precántes sérvulos;tes serviteurs qui te supplient
in sempitérna sæcula. Amen.;à travers l'infini des siècles.
