Hymnus;Hymne
Hæc hora, quæ resplénduit ;Cette heure qui resplendit
crucísque solvit núbila, ;"dissipe les sombres nuages de la croix ;"
mundum tenébris éxuens, ;elle repousse les ténèbres du monde
reddens seréna lúmina.;et lui rend une paisible lumière.

Hæc hora, qua resúscitans ;C'est l'heure où Jésus ressuscita
Iesus sepúlcris córpora, ;les corps des tombeaux
prodíre mortis líbera ;et ordonna à des morts de se montrer librement
iussit refúso spíritu.;en leur rendant l'esprit.

Nováta sæcla crédimus ;Nous croyons le monde renouvelé
mortis solútis légibus, ;par l'abolition des lois de la mort,
vitæ beátæ múnera ;et le don de la vie bienheureuse
cursum perénnem cúrrere.;offert éternellement.

Iesu, tibi sit glória, ;A toi, Jésus, soit la louange,
qui morte victa prænites, ;"glorieux vainqueur de la mort ;"
cum Patre et almo Spíritu, ;louange au Père et à l'Esprit,
in sempitérna sæcula. Amen.;à travers les siècles sans fin.
