Hymnus;Hymne
;
Cónditor alme síderum, ;1. Bienfaisant Créateur des cieux,
ætérna lux credéntium, ;Pour toujours soleil des croyants,
Christe, redémptor ómnium, ;Ô Rédempteur du genre humain,
exáudi preces súpplicum.;Christ, entends nos voix suppliantes.
;
Qui cóndolens intéritu ;2. Compatissant devant la mort
mortis períre sæculum, ;Dont notre siècle périssait,
salvásti mundum lánguidum, ;Tu sauvas le monde épuisé,
donans reis remédium,;Donnant aux pécheurs le remède.
;
Vergénte mundi véspere, ;Comme un époux dans le soleil
uti sponsus de thálamo, ;Quand le monde allait vers sa nuit,
egréssus honestíssima ;Tu sortis du jardin fermé
Vírginis matris cláusula.;D'une Vierge, mère et bénie.
;
Cuius forti poténtiæ ;Devant ta souveraineté
"genu curvántur ómnia; ";"Tout être fléchit le genou ;"
cæléstia, terréstria ;Tout dans le ciel et ici bas
nutu faténtur súbdita.;S'avoue soumis à ta puissance.
;
Te, Sancte, fide quæsumus, ;Notre foi t'implore, ô très saint,
ventúre iudex sæculi, ;Toi qui viendras juger ce temps,
consérva nos in témpore ;De nous protéger aujourd'hui
hostis a telo pérfidi.;Du trait de l'ennemi perfide.
;
Sit, Christe, rex piíssime, ;Ô Christ, ô Roi plein de bonté,
tibi Patríque glória ;Gloire à toi et gloire à ton Père,
cum Spíritu Paráclito, ;Avec l'Esprit Consolateur,
in sempitérna sæcula. Amen.;À travers l'infini des siècles ! Amen.
