Hymnus;Hymne
;
Corde natus ex Paréntis;Il est né du coeur de son Père
ante mundi exórdium,;Avant le début de ce monde,
Alpha et Omega vocátus,;Nommé alpha et oméga,
ipse fons et cláusula;Il est lui-même source et fin
ómnium quæ sunt, fuérunt;De tout ce qui est, a été,
quæque post futúra sunt.;Et qui plus tard existera
;
Córporis formam cadúci,;Il a pris un corps périssable,
membra morti obnóxia;Des membres promis à la tombe,
índuit, ne gens períret;Afin de sauver de la mort
primoplásti ex gérmine,;la race du premier Adam
mérserat quam lex profúndo;Plongée par la loi du péché
noxiális tártaro.;Dans les profondeurs de l'enfer.
;
O beátus ortus ille,;Bienheureuse cette naissance,
Virgo cum puérpera;Quand une Vierge qui enfante
édidit nostram salútem;Fécondée par le Saint-Esprit,
feta Sancto Spíritu,;Mit au monde notre Salut
et puer redémptor orbis;Et que l'Enfant, notre Sauveur,
os sacrátum prótulit.;Montra son visage sacré !
;
Ecce, quem vates vetústis;Voici celui que les poètes
concinébant sæculis,;Chantaient dans les siècles antiques,
quem prophetárum fidéles;Et qu'annonçaient dans leurs écrits
páginæ spopónderant,;Les prophètes remplis de foi.
émicat promíssus olim:;Promis jadis, il apparaît :
cuncta colláudent eum!;Que l'univers le loue en choeur!
;
Glóriam Patri melódis;Faisons retentir gloire au Père
"personémus vócibus;";Dans une hymne mélodieuse,
glóriam Christo canámus,;Et chantons aussi gloire au Christ
matre nato vírgine,;de la Vierge mère il est né
inclitóque sempitérnam;Et gloire pour l'éternité
glóriam Paráclito. Amen.;à l'Esprit Saint Consolateur. Amen.
