Hymnus;Hymne
Quod chorus vatum venerándus olim ;Ce que le chœur si vénérable des prophètes
Spíritu Sancto cécinit replétus, ;avait chanté jadis empli de l'Esprit Saint
in Dei factum genetríce constat ;le voici accompli en la mère de Dieu
esse María.;en la Vierge Marie

Hæc Deum cæli Dominúmque terræ ;Vierge, elle avait conçu, vierge elle a enfanté
virgo concépit peperítque virgo, ;"le Dieu maître du ciel et Seigneur de la terre;"
atque post partum méruit manére ;Elle a reçu la grâce, après l'enfantement,
invioláta.;de rester toujours vierge.

Quem senex iustus Símeon in ulnis ;Au temple du Seigneur, le juste Siméon
in domo sumpsit Dómini, gavísus ;en ses main de vieillard a pris le jeune enfant
ob quod optátum próprio vidéret ;joyeux de contempler avec ses propres yeux
lúmine Christum.;le Christ tant désiré

Tu libens votis, pétimus, precántum, ;Nous t'en prions, mère du roi d'éternité
regis ætérni génetrix, favéto, ;exauce avec vonté nos vœux et nos demandes
clara quæ fundis Géniti benígni ;toi qui répands sur nous les grâces de ton Fils
múnera lucis.;en lumière éclatante.

Christe, qui lumen Patris es supérni, ;Seigneur qui es l'éclat du Père dans le ciel
qui Patris nobis réseras profúnda, ;et nous ouvres l'accès aux profondeurs du Père,
nos fac ætérnæ tibi ferre laudes ;Fais que nous te portions d'éternelles louanges
lucis in aula. Amen.;au séjour de lumière.
