HYMNUS_laudes;hy_Aurora lucis rutilat;;
ant1;"Vidérunt te acquæ, Deus; per mare deduxísti pópulum tuum, allelúia.";A travers la mer, Dieu, tu as conduit ton peuple, alléluia.;
ant2;Dóminus mortíficat et vivíficat, allelúia.;Le Seigneur mortifie et vivifie, alléluia.;
ant3;Lux orta est iusto, et rectis corde lætítia, allelúia.;La lumière est semée pour le juste, et la joie pour ceux qui ont le cœur droit. ;ps 96,11
LB_matin;LB_Rom 6, 8-11;;
RB_matin;"R/. Surréxit Dóminus de sepúlcro,* Allelúia, allelúia. Surréxit. 
V/. Qui pro nobis pepéndit in ligno. *Allelúia, allelúia. Glória Patri. Surréxit.";"R/. Le Seigneur s'est relevé du tombeau,* Alléluia, alléluia. Le Seigneur.
V/. Lui qui pour nous a pendu sur le bois. *Alléluia, alléluia. Gloire au Père. Le Seigneur.";
benedictus;Adhuc multa hábeo vobis dícere, sed non potéstis portáre modo: cum autem vénerit ille Spíritus veritátis, docébit vos omnem veritátem, allelúia.;"J'ai encore beaucoup de choses à vous dire; mais vous ne pouvez les porter à présent. Quand le Consolateur, l'Esprit de vérité, sera venu, il vous guidera dans toute la vérité, alléluia";Jn XVI 12-13
preces_matin;preces_XIII;;
oratio_laudes;Annue nobis, quæsumus, Dómine, ut, quemádmodum mystério resurrectiónis Fílii tui sollémnia cólimus, ita et in advéntu eius gaudére cum sanctis ómnibus mereámur. Per Dóminum.;Daigne nous accorder, nous t’en supplions, Seigneur, que de même que nous honorons par nos célébrations les jours solennels de la résurrection de ton Fils, nous méritions aussi lors de sa venue de nous réjouir avec tous les saints.;
HYMNUS_tertiam;hy_Iam surgit hora tértia;;
HYMNUS_sextam;hy_Veníte, servi, súpplices;;
HYMNUS_nonam;hy_Hæc hora, quæ resplénduit;;
ant4;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant5;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant6;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
LB_3;LB_Rom 4, 24-25;;
RB_3;"V/. Surréxit Dóminus vere, allelúia. 
R/. Et appáruit Simóni, allelúia.";"V/. Le Seigneur est vraiment ressuscité, alléluia. 
R/. Et il est apparu à Simon, alléluia.";Luc XXIV 34
