HYMNUS_laudes;hy_Aurora lucis rutilat;;
ant1;Accessístis ad Sion montem et civitátem Dei vivéntis, allelúia.;Vous vous êtes approchés de la montagne de Sion, de la cité du Dieu vivant, alléluia.;Hbr 12,22
ant2;Tu, Dómine, eruísti ánimam meam, ut non períret, allelúia.;Toi, Seigneur, tu as retiré mon âme, pour que je ne périsse pas, alléluia.;
ant3;Visitásti terram et inebriásti eam, allelúia.;Tu as visité la terre pour lui donner l'abondance, alléluia.;Ps 64,10
LB_matin;LB_Act 13, 30-33;;
RB_matin;"R/. Surréxit Dóminus de sepúlcro,* Allelúia, allelúia. Surréxit. 
V/. Qui pro nobis pepéndit in ligno. *Allelúia, allelúia. Glória Patri. Surréxit.
";"R/. Le Seigneur s'est relevé du tombeau,* Alléluia, alléluia. Le Seigneur.
V/. Lui qui pour nous a pendu sur le bois. *Alléluia, alléluia. Gloire au Père. Le Seigneur.";
benedictus;"Adhuc módicum, et mundus me iam non videt; vos autem vidébitis me, quia ego vivo, et vos vivétis, allelúia.";"Encore un peu de temps, et le monde ne me verra plus; mais vous, vous me verrez, parce que je vis, et  que vous vivez, alléluia.";Jn XIV 19
preces_matin;preces_XI;;
oratio_laudes;Semper exsúltet pópulus tuus, Deus, renováta ánimæ iuventúte, ut, qui nunc lætátur in adoptiónis se glóriam restitútum, resurrectiónis diem spe certæ gratulatiónis exspéctet. Per Dóminum.;Qu’exulte toujours ton peuple, Ô Dieu, par la jeunesse renouvelée de son âme, pour que, lui qui se réjouit maintenant d’être rétabli dans la gloire des fils d’adoption, attende le jour de la résurrection dans l’espérance d’une action de grâce assurée. ;
HYMNUS_tertiam;hy_Iam surgit hora tértia;;
HYMNUS_sextam;hy_Veníte, servi, súpplices;;
HYMNUS_nonam;hy_Hæc hora, quæ resplénduit;;
ant4;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant5;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant6;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
LB_3;LB_Act 4, 11-12;;
RB_3;"V/. Surréxit Dóminus vere, allelúia. 
R/. Et appáruit Simóni, allelúia.";"V/. Le Seigneur est vraiment ressuscité, alléluia. 
R/. Et il est apparu à Simon, alléluia.";Luc XXIV 34
oratio_3;Semper exsúltet pópulus tuus, Deus, renováta ánimæ iuventúte, ut, qui nunc lætátur in adoptiónis se glóriam restitútum, resurrectiónis diem spe certæ gratulatiónis exspéctet. Per Dóminum.;Qu’exulte toujours ton peuple, Ô Dieu, par la jeunesse renouvelée de son âme, pour que, lui qui se réjouit maintenant d’être rétabli dans la gloire des fils d’adoption, attende le jour de la résurrection dans l’espérance d’une action de grâce assurée. ;
LB_6;LB_1 Petr 3, 21-22a;;
RB_6;"V/. Gavísi sunt discípuli, allelúia. 
R/. Viso Dómino, allelúia.";"V/. Les disciples furent dans la joie, alléluia. 
R/. En voyant le Seigneur, alléluia.";Jean XX 20
oratio_6;Semper exsúltet pópulus tuus, Deus, renováta ánimæ iuventúte, ut, qui nunc lætátur in adoptiónis se glóriam restitútum, resurrectiónis diem spe certæ gratulatiónis exspéctet. Per Dóminum.;Qu’exulte toujours ton peuple, Ô Dieu, par la jeunesse renouvelée de son âme, pour que, lui qui se réjouit maintenant d’être rétabli dans la gloire des fils d’adoption, attende le jour de la résurrection dans l’espérance d’une action de grâce assurée. ;
LB_9;LB_Col 3, 1-2;;
RB_9;"V/. Mane nobíscum, Dómine, allelúia. 
R/. Quóniam advesperáscit, allelúia.";"V/. Reste avec nous, Seigneur, alléluia. 
R/. Car le soir tombe, alléluia.";Luc XXIV 29
oratio_9;Semper exsúltet pópulus tuus, Deus, renováta ánimæ iuventúte, ut, qui nunc lætátur in adoptiónis se glóriam restitútum, resurrectiónis diem spe certæ gratulatiónis exspéctet. Per Dóminum.;Qu’exulte toujours ton peuple, Ô Dieu, par la jeunesse renouvelée de son âme, pour que, lui qui se réjouit maintenant d’être rétabli dans la gloire des fils d’adoption, attende le jour de la résurrection dans l’espérance d’une action de grâce assurée. ;
HYMNUS_vesperas;hy_Ad cenam Agni próvidi;;
ant7;Quæ sursum sunt quærite, non quæ super terram, allelúia.;Recherchez les choses d'en haut, qui ne sont pas sur la terre, alléluia.;Col, 3,1
ant8;Redémit Dóminus ánimam meam de manu ínferi, allelúia.;Le Seigneur a retiré mon âme de la main des enfers, alléluia.;
ant9;Tua est, Dómine, magnificéntia et poténtia et glória atque victória, allelúia.;A toi, Seigneur, la magnificence, la puissance, la gloire et la victoire, alléluia.;
LB_soir;LB_1 Petr 2, 4-5;;
RB_soir;"R/. Gavísi sunt discípuli, *Allelúia, allelúia. Gavísi. 
V/. Viso Dómino. * Allelúia, allelúia. Glória Patri. Gavísi.";"R/. Les disciples furent emplis de joie, * Alléluia, alléluia. Les disciples. 
V/. En voyant le Seigneur. * Alléluia, alléluia. Gloire au Père. Les disciples.";Jean XX 20
magnificat;"Ego veritátem dico vobis: Expedit vobis ut ego vadam; si enim non abíero, Paráclitus non véniet, allelúia.";"Je vous dis la vérité: il vous est bon que je m'en aille; car, si je ne m'en vais pas, le  Consolateur ne viendra pas en vous, alléluia.";Jn XVI 7
