HYMNUS_laudes;hy_Aurora lucis rutilat;;
ant1;Sicut cervus ad fontes aquárum, desíderat ánima mea ad te, Deus, allelúia.;Comme le cerf soupire après les sources d'eau,  ainsi mon âme soupire après toi, ô Dieu. Alléluia.;Ps XLII 2
ant2;Reple Sion, Dómine, verbis tuis, ut narréntur magnália tua, allelúia.;Tu remplis Sion, Seigneur, de ta Parole, pour que tes hauts faits te soient contés, alléluia.;Cf. Sirac
ant3;Cláritas Dei illúminat civitátem, et lucérna eius est Agnus, allelúia.;La gloire de Dieu l'illumine, et l'Agneau est son flambeau, alléluia.;Ap XXI 23
LB_matin;LB_Rom 10, 8b-10;;
RB_matin;"R/. Surréxit Dóminus de sepúlcro,* Allelúia, allelúia. Surréxit. 
V/. Qui pro nobis pepéndit in ligno. *Allelúia, allelúia. Glória Patri. Surréxit.";"R/. Le Seigneur s'est relevé du tombeau,* Alléluia, alléluia. Le Seigneur.
V/. Lui qui pour nous a pendu sur le bois. *Alléluia, alléluia. Gloire au Père. Le Seigneur.";
benedictus;Regenerávit nos Deus in spem vivam per resurrectiónem Iesu Christi ex mórtuis, in hereditátem incorruptíbilem, allelúia.;Dieu nous a régénérés par la résurrection de Jésus-Christ d'entre les morts pour une vivante espérance, pour un héritage incorruptible, alléluia.;1 P I 3-4
preces_matin;preces_IX;;
oratio_laudes;Concéde, miséricors Deus, ut, quod paschálibus exséquimur institútis, fructíferum nobis omni témpore sentiámus. Per Dóminum.;Accorde-nous, Dieu de miséricorde, de sentir en tout temps les fruits de ce que nous avons accompli par ces fêtes pascales que tu as instituées.;
HYMNUS_tertiam;hy_Iam surgit hora tértia;;
HYMNUS_sextam;hy_Veníte, servi, súpplices;;
HYMNUS_nonam;hy_Hæc hora, quæ resplénduit;;
ant4;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant5;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
ant6;Allelúia, allelúia, allelúia.;Alléluia, alléluia, alléluia.;
LB_3;LB_Ap 1, 17c-18;;
RB_3;"V/. Surréxit Dóminus vere, allelúia. 
R/. Et appáruit Simóni, allelúia.";"V/. Le Seigneur est vraiment ressuscité, alléluia. 
R/. Et il est apparu à Simon, alléluia.";Luc XXIV 34
oratio_3;Concéde, miséricors Deus, ut, quod paschálibus exséquimur institútis, fructíferum nobis omni témpore sentiámus. Per Dóminum.;Accorde-nous, Dieu de miséricorde, de sentir en tout temps les fruits de ce que nous avons accompli par ces fêtes pascales que tu as instituées.;
LB_6;LB_Col 2, 9. 10a. 12;;
RB_6;"V/. Gavísi sunt discípuli, allelúia. 
R/. Viso Dómino, allelúia.";"V/. Les disciples furent dans la joie, alléluia. 
R/. En voyant le Seigneur, alléluia.";Jean XX 20
oratio_6;Concéde, miséricors Deus, ut, quod paschálibus exséquimur institútis, fructíferum nobis omni témpore sentiámus. Per Dóminum.;Accorde-nous, Dieu de miséricorde, de sentir en tout temps les fruits de ce que nous avons accompli par ces fêtes pascales que tu as instituées.;
LB_9;LB_2 Tim 2, 8. 11;;
RB_9;"V/. Mane nobíscum, Dómine, allelúia. 
R/. Quóniam advesperáscit, allelúia.";"V/. Reste avec nous, Seigneur, alléluia. 
R/. Car le soir tombe, alléluia.";Luc XXIV 29
oratio_9;Concéde, miséricors Deus, ut, quod paschálibus exséquimur institútis, fructíferum nobis omni témpore sentiámus. Per Dóminum.;Accorde-nous, Dieu de miséricorde, de sentir en tout temps les fruits de ce que nous avons accompli par ces fêtes pascales que tu as instituées.;
HYMNUS_vesperas;hy_Ad cenam Agni próvidi;;
ant7;Benedíctus qui venit in nómine Dómini, allelúia.;Béni soit celui qui vient au nom du Seigneur. Alléluia.;Ts Evangiles, entrée à Jérusalem
ant8;Beáti qui ad cenam nuptiárum Agni vocáti sunt, allelúia.;Heureux ceux qui sont invités au festin des noces de l'Agneau, alléluia;Ap XIX 9
ant9;De plenitúdine eius omnes nos accépimus, et grátiam pro grátia, allelúia.;De sa plénitude, que nous avons tous reçu, et grâce sur grâce,alléluia.;Jean I 16
LB_soir;LB_Hebr 8, 1b-3a;;
RB_soir;"R/. Gavísi sunt discípuli, *Allelúia, allelúia. Gavísi. 
V/. Viso Dómino. * Allelúia, allelúia. Glória Patri. Gavísi.";"R/. Les disciples furent emplis de joie, * Alléluia, alleluia. Les disciples. 
V/. En voyant le Seigneur. * Alléluia, alléluia. Gloire au Père. Les disciples.";Jean XX 20
magnificat;"Spíritus veritátis, qui a Patre procédit, testimónium perhibébit de me; et vos testimónium perhibébitis, allelúia.";L'Esprit de vérité qui procède du Père, viendra, il rendra témoignage de moi, et vous aussi, vous me rendrez témoignage, alléluia.;Jn XV 26
oratio_vesperas;Concéde, miséricors Deus, ut, quod paschálibus exséquimur institútis, fructíferum nobis omni témpore sentiámus. Per Dóminum.;Accorde-nous, Dieu de miséricorde, de sentir en tout temps les fruits de ce que nous avons accompli par ces fêtes pascales que tu as instituées.;
preces_soir;preces_X
