jour;Die 26 maii;Le 26 mai;
intitule;S. PHILIPPI NERI, PRESBYTERI;S. PHILIPPE NERI, PRETRE;
rang;Memoria;Mémoire;
HYMNUS_laudes;hy_Inclitus rector pater atque prudens;;
LB_matin;LB_Hebr 13, 7-9a;;
RB_matin;"R/. Super te, Ierúsalem, * Constítui custódes. Super te. 
V/. Die ac nocte non tacébunt prædicáre nomen Dómini. * Constítui custódes. Glória Patri. Super te.
<font color=red>Tempore paschali:</font>
R/. Super te, Ierúsalem, constítui custódes, * Allelúia, allelúia. Super te.
V/. Die ac nocte non tacébunt prædicáre nomen Dómini. * Allelúia, allelúia. Glória Patri. Super te.
";"R/. Sur toi, Jérusalem, * j'ai placé des sentinelles. Sur toi. 
V/. Jamais ni le jour ni la nuit, elles ne cesseront de prêcher le nom du Seigneur. * J'ai placé des sentinelles. Gloire au Père. Sur toi.
<font color=red>Au temps pacal :</font>
R/. Sur toi, Jérusalem, j'ai placé des sentinelles, * Alléluia, alléluia. Super te.
V/. Jamais ni le jour ni la nuit, elles ne cesseront de prêcher le nom du Seigneur. * Alléluia, alléluia. Gloire au Père. Sur toi.";
benedictus; Non vos estis qui loquímini, sed Spíritus Patris vestri, qui lóquitur in vobis (T. P. allelúia).;Ce n'est pas vous qui parlez, mais l'Esprit de votre Père, qui parle en vous (T.P. alléluia).;
preces_matin;;;
oratio;Deus, qui fidéles tibi servos sanctitátis glória sublimáre non desístis, concéde propítius, ut illo nos igne Spíritus Sanctus inflámmet, quo beáti Philíppi cor mirabíliter penetrávit. Per Dóminum.;"O Dieu qui ne cesses d'élever à la sainteté par la gloire de  tes serviteurs fidèles
by the glory of sanctity servants faithful to You,
permets, nous t'en prions,
que l'Esprit Saint nous enflamme de la même ardeur que celle qui pénétra merveileusement le coeur de Saint Philippe.";
HYMNUS_vepres;hy_Vir celse, forma fúlgida;;
LB_soir;LB_1 Petr 5, 1-4;;
RB_soir;"R/. Hic est fratrum amátor, * Qui multum orat pro pópulo. Hic est. 
V/. Et ánimam suam trádidit pro frátribus suis. * Qui multum orat pro pópulo. Glória Patri. Hic est.";"R/. Celui-ci est l'ami de ses frères, * qui prie beaucoup pour le peuple. Celui-ci. 
V/. Et son âme est livrée pour ses frères. * qui prie beaucoup pour le peuple. Gloire au Père. Celui-ci.";
magnificat;Iste est fidélis et prudens dispensátor, quem constítuit Dóminus super famíliam suam, ut daret illis in témpore trítici mensúram.;Voici le serviteur fidèle et prudent, que le Seigneur s'est choisi parmi sa famille, pour qu'il lui donne en son temps trois fois la mesure.;
preces_soir;;;
