Psalmus 100 (101);Psaume 100 (101)
Iusti principis confessio;
Si diligitis me, mandata mea servabitis (Io 14, 15).;Si vous m'aimez, gardez mes commandements (Io 14, 15).
;
"Misericórdiam et iudícium cantábo; * tibi, Dómine, psallam. ";"Je veux chanter la bonté et la justice ; c'est toi, le Seigneur, que je veux célébrer."
"Intéllegam in via immaculáta; * quando vénies ad me?";Je prendrai garde à la voie de l'innocence. Quand viendras-tu à moi ? 
Perambulábo in innocéntia cordis mei, * in médio domus meæ. ;Je marcherai dans l'intégrité de mon cœur, au milieu de ma maison. 
Non propónam ante óculos meos rem iniústam,  faciéntem prævaricatiónes ódio habébo, * non adhærébit mihi.;Je ne mettrai devant mes yeux aucune action mauvaise. Je hais la conduite perverse, elle ne s'attachera point à moi. 
Cor pravum recédet a me, * malígnum non cognóscam. ;"Un cœur faux ne sera jamais le mien ; je ne veux pas connaître le mal. "
"Detrahéntem secréto próximo suo, * hunc cessáre fáciam; ";"Le détracteur qui déchire en secret son prochain, je l'exterminerai ; "
supérbum óculo et inflátum corde, * hunc non sustinébo.;L'homme au regard hautain et au cœur gonflé d'orgueil, je ne le supporterai pas. 
"Oculi mei ad fidéles terræ, ut sédeant mecum; * qui ámbulat in via immaculáta,  hic mihi ministrábit. ";"J'aurai les yeux sur les hommes fidèles du pays, pour qu'ils demeurent auprès de moi ; celui qui marche dans une voie intègre sera mon serviteur. "
"Non habitábit in médio domus meæ,  qui facit supérbiam; * qui lóquitur iníqua,  non stabit in conspéctu oculórum meórum. ";"Il n'aura point de place dans ma maison, celui qui agit avec fourberie ; celui qui profère le mensonge ne subsistera pas devant mes yeux. "
In matutíno cessáre fáciam  omnes peccatóres terræ, * ut dispérdam de civitáte Dómini  omnes operántes iniquitátem.;Chaque matin j'exterminerai tous les méchants du pays, afin de retrancher de la cité du Seigneur tous ceux qui commettent l'iniquité.
