Hymnus;Hymne

Te nostra lætis láudibus,;Nos joyeux cantiques de louange t'exaltent,
Iacóbe, tollunt cántica,;Jacques, toi que le Christ a fait passer
quem Christus arte ex rétium;du soin des filets 
ad tanta vexit cúlmina.;à une telle exaltation

Ipso vocánte, cóncitus;A son appel, sans attendre,
cum fratre linquis ómnia,;avec ton frère tu abandonnes tout,
ipsíus et fis nóminis;et tu deviens un fervent héraut 
verbíque præco férvidus.;de son nom et de sa parole.

Testis poténtis déxteræ;Témoin privilégié de sa puissance,
præclárus alta cónspicis,;tu contemples les mystères sublimes:
in monte celsam glóriam,;"sur la montagne, sa gloire céleste;"
tristes in horto angústias.;dans le jardin, ses angoisses.

Qui promptus exstas, póscitur;Toi qui t'avances avec empressement
cum passiónis póculum,;pour réclamer le calice de la passion
tu primus ex apóstolis;tu es le premier des apôtres à mourir
pro Christi amóre plécteris.;pour l'amour du Christ.

Iesu fidélis ássecla;Fidèle disciple de Jésus,
satórque lucis cælicæ,;semeur de lumière céleste,
mentes fide claréscere,;donne à nos âmes de resplendir de foi,
da spe fovéri péctora.;à nos parents de brûler d'espérance.

Christi sequi da sédulos;Donne-nous de suivre avec ardeur
præcépta nos in sæculo,;les commandements du Christ en ce monde
hymnos ut olim glóriæ;afin de lui adresser un jour
fundámus illi pérpetim. Amen.;sans fin des hymnes de gloire.
