Psalmus 50 (51);Psaume 50 (51)
Miserere mei, Deus;Pitié pour moi, mon Dieu
Renovari spiritu mentis vestræ et induere novum hominem (Eph 4, 23-24).;Vous renouveler dans votre esprit et revêtir l’homme nouveau (Eph 4, 23-24).
;
"Miserére mei, Deus, * secúndum misericórdiam tuam; ";"Aie pitié de moi, ô Dieu, selon ta bonté ;"
et secúndum multitúdinem miseratiónum tuárum * dele iniquitátem meam. ;et selon ta grande miséricorde efface mes transgressions.
Amplius lava me ab iniquitáte mea * et a peccáto meo munda me.;Lave-moi complètement de mon iniquité, et purifie-moi de mon péché. 
Quóniam iniquitátem meam ego cognósco, * et peccátum meum contra me est semper. ;Car je reconnais mes transgressions, et mon péché est constamment devant moi. 
Tibi, tibi soli peccávi * et malum coram te feci, ;C'est contre toi seul que j'ai péché, j'ai fait ce qui est mal à tes yeux,
ut iustus inveniáris in senténtia tua * et æquus in iudício tuo.;afin que tu sois trouvé juste dans ta sentence, sans reproche dans ton jugement. 
Ecce enim in iniquitáte generátus sum, * et in peccáto concépit me mater mea. ;Voici que je suis né dans l'iniquité et ma mère m'a conçu dans le péché. 
Ecce enim veritátem in corde dilexísti * et in occúlto sapiéntiam manifestásti mihi.;Voici que tu veux que la sincérité soit dans le coeur au dedans de moi fais-moi connaître la sagesse. 
"Aspérges me hyssópo, et mundábor; * lavábis me, et super nivem dealbábor.";"Purifie-moi avec l'hysope, et je serai pur; lave-moi, et je serai plus blanc que la neige. "
Audíre me fácies gáudium et lætítiam, * et exsultábunt ossa, quæ contrivísti.;Annonce-moi la joie et l'allégresse, et les os que tu as brisés se réjouiront. 
Avérte fáciem tuam a peccátis meis * et omnes iniquitátes meas dele. ;Détourne ta face de mes péchés, efface toutes mes iniquités. 
Cor mundum crea in me, Deus, * et spíritum firmum ínnova in viscéribus meis.;"O Dieu, crée en moi un coeur pur; et renouvelle au dedans de moi un esprit ferme. "
Ne proícias me a fácie tua * et spíritum sanctum tuum ne áuferas a me. ;Ne me rejette pas loin de ta face, ne me retire pas ton esprit saint. 
Redde mihi lætítiam salutáris tui * et spíritu promptíssimo confírma me.;Rends-moi la joie de ton salut, et soutiens-moi par un esprit de bonne volonté. 
Docébo iníquos vias tuas, * et ímpii ad te converténtur.;J'enseignerai tes voies à ceux qui les transgressent, et les pécheurs reviendront à toi. 
Líbera me de sanguínibus, Deus, Deus salútis meæ, * et exsultábit língua mea iustítiam tuam.;O Dieu, Dieu de mon salut, délivre-moi du sang versé, et ma langue célébrera ta justice.
Dómine, lábia mea apéries, * et os meum annuntiábit laudem tuam. ;Seigneur, ouvre mes lèvres, et ma bouche publiera ta louange.
Non enim sacrifício delectáris, * holocáustum, si ófferam, non placébit.;Car tu ne désires pas de sacrifices, je t'en offrirais, tu ne prends pas plaisir aux holocaustes. 
Sacrifícium Deo spíritus contribulátus, * cor contrítum et humiliátum, Deus, non despícies.;Les sacrifices de Dieu, c'est un esprit brisé, ô Dieu, tu ne dédaignes pas un coeur brisé et contrit. 
Benígne fac, Dómine, in bona voluntáte tua Sion, * ut ædificéntur muri Ierúsalem. ;Dans ta bonté, répands tes bienfaits sur Sion, bâtis les murs de Jerusalem.
"Tunc acceptábis sacrifícium iustítiæ, oblatiónes et holocáusta; * tunc impónent super altáre tuum vítulos.";"Alors tu agréeras les sacrifices de justice, l'holocauste et le don parfait ; alors on offrira des taureaux sur ton autel. "
