Psalmus 127 (128) ;Psaume 127 (128)
Pax domestica in Domino;Paix domestique dans le Seigneur
«Benedicat te Dominus ex Sion», id est: ex Ecclesia sua (Arnobius).;«Que le Seigneur te bénisse de Sion », c’est à dire : de son Eglise (Arnobius).

Beátus omnis, qui timet Dóminum, * qui ámbulat in viis eius.;Heureux l'homme qui craint le Seigneur, qui marche dans ses voies ! 
Labóres mánuum tuárum manducábis, * beátus es, et bene tibi erit.;"Tu te nourris alors du travail de tes mains; tu es heureux et comblé de biens. "
"Uxor tua sicut vitis fructífera * in latéribus domus tuæ;";"Ton épouse est comme une vigne féconde, dans l'intérieur de ta maison ; "
fílii tui sicut novéllæ olivárum * in circúitu mensæ tuæ.;tes fils, comme de jeunes plants d'olivier, autour de ta table. 
Ecce sic benedicétur homo, * qui timet Dóminum.;Voilà comment sera béni l'homme qui craint le Seigneur. 
"Benedícat tibi Dóminus ex Sion, * et vídeas bona Ierúsalem ómnibus diébus vitæ tuæ;";Que le Seigneur te bénisse de Sion , puisses-tu voir Jérusalem florissante tous les jours de ta vie ! 
et vídeas fílios filiórum tuórum. * Pax super Israel!;Puisses-tu voir les enfants de tes enfants. Que la paix soit sur Israël !
