Psalmus 40 (41);Psaume 40 (41)
Infirmi oratio;Prière de l’infirme
Unus ex vobis me tradet, qui manducat mecum (Mc 14, 18).;L’un de vous me livrera, celui qui mange avec moi (Mc 14, 18).
;
Beátus, qui intéllegit de egéno, * in die mala liberábit eum Dóminus.;Heureux celui qui prend souci du pauvre ! Au jour du malheur, le Seigneur le délivrera. 
Dóminus servábit eum et vivificábit eum et beátum fáciet eum in terra * et non tradet eum in ánimam inimicórum eius. ;"le Seigneur le gardera et le fera vivre; il sera heureux sur la terre, et tu ne le livreras pas au désir de ses ennemis."
"Dóminus opem feret illi super lectum dolóris eius; * univérsum stratum eius versábis in infirmitáte eius.";"le Seigneur l'assistera sur son lit de douleur; tu retourneras toute sa couche dans sa maladie. "
"Ego dixi: «Dómine, miserére mei; * sana ánimam meam, quia peccávi tibi».";"Moi, je dis : "" le Seigneur, aie pitié de moi ! guéris mon âme, car j'ai péché contre toi ! "" "
Inimíci mei dixérunt mala mihi: * «Quando moriétur, et períbit nomen eius?». ;"Et mes ennemis profèrent contre moi des malédictions : "" Quand mourra-t-il ? Quand périra son nom? "" "
"Et si ingrediebátur, ut visitáret, vana loquebátur; cor eius congregábat iniquitátem sibi, * egrediebátur foras et detrahébat.";"Si quelqu'un vient me visiter, il ne profère que mensonges ; son coeur recueille l'iniquité ; quand il s'en va, il parle au dehors. "
"Simul advérsum me susurrábant omnes inimíci mei; * advérsum me cogitábant mala mihi: ";Tous mes ennemis chuchotent ensemble contre moi, contre moi ils méditent le malheur. 
"«Malefícium effúsum est in eo; * et, qui decúmbit, non adíciet ut resúrgat».";""" Un mal irrémédiable, disent-ils, a fondu sur lui ; le voilà couché, il ne se relèvera plus !"" "
Sed et homo pacis meæ, in quo sperávi, * qui edébat panem meum, levávit contra me calcáneum.;Même l'homme qui était mon ami, qui avait ma confiance et qui mangeait mon pain, lève le talon contre moi. 
Tu autem, Dómine, miserére mei * et resúscita me, et retríbuam eis.;Toi, le Seigneur, aie pitié de moi et relève-moi, et je leur rendrai ce qu'ils méritent. 
"In hoc cognóvi quóniam voluísti me, * quia non gaudébit inimícus meus super me; ";Je connaîtrai que tu m'aimes, si mon ennemi ne triomphe pas de moi.
me autem propter innocéntiam suscepísti * et statuísti me in conspéctu tuo in ætérnum.;A cause de mon innocence, tu m'as soutenu, et tu m'as établi pour toujours en ta présence. 
Benedíctus Dóminus Deus Israel * a sæculo et usque in sæculum. Fiat, fiat.;Béni soit le Seigneur, le Dieu d'Israël, dans les siècles des siècles ! Amen ! Amen !
