Psalmus 29 (30);Psaume 29 (30)
Gratiarum actio pro liberatione a morte;Action de grâce pour la délivrance de la mort.
Christus post resurrectionem gloriosam Patri gratias agit (Cassiodorus).;Le Christ, après la résurrection, rendit gloire au Père (Cassiodorus).
;
Exaltábo te, Dómine, quóniam extraxísti me, * nec delectásti inimícos meos super me. ;Je t'exalte,le Seigneur, car tu m'as relevé, tu n'as pas réjoui mes ennemis à mon sujet. 
Dómine Deus meus, clamávi ad te, * et sanásti me.;le Seigneur, mon Dieu, j'ai crié vers toi et tu m'as guéri. 
Dómine, eduxísti ab inférno ánimam meam, * vivificásti me, ut non descénderem in lacum.;le Seigneur, tu as fait remonter mon âme du schéol, tu m'as rendu la vie, loin de ceux qui descendent dans la fosse. 
Psállite Dómino, sancti eius, * et confitémini memóriæ sanctitátis eius, ;Chantez le Seigneur, vous ses fidèles, célébrez son saint souvenir ! 
quóniam ad moméntum indignátio eius * et per vitam volúntas eius. ;"Car sa colère dure un instant, mais sa grâce toute la vie ;"
Ad vésperum demorátur fletus, * ad matutínum lætítia.;le soir viennent les pleurs,et le matin l'allégresse. 
Ego autem dixi in securitáte mea: * «Non movébor in ætérnum». ;"Je disais dans ma sécurité : "" Je ne serai jamais ébranlé ! "" "
"Dómine, in voluntáte tua * præstitísti decóri meo virtútem; ";"le Seigneur, par ta grâce tu avais affermi ma montagne; "
avertísti fáciem tuam a me, * et factus sum conturbátus.;tu as caché ta face, et j'ai été troublé.
Ad te, Dómine, clamábam * et ad Deum meum deprecábar.;le Seigneur, j'ai crié vers toi, j'ai imploré le Seigneur 
Quæ utílitas in sánguine meo, * dum descéndo in corruptiónem? ;""" Que gagnes-tu à verser mon sang; à me faire descendre dans la fosse ?"
Numquid confitébitur tibi pulvis * aut annuntiábit veritátem tuam? ;La poussière chantera-t-elle tes louanges, annoncera-t-elle ta vérité ? 
Audívit Dóminus et misértus est mei, * Dóminus factus est adiútor meus.;"Ecoute, le Seigneur, sois-moi propice; le Seigneur, viens à mon secours ! "
Convertísti planctum meum in choros mihi, * conscidísti saccum meum et accinxísti me lætítia, ;Et tu as changé mes lamentations en allégresse, tu as délié mon sac et tu m'as ceint de joie, 
ut cantet tibi glória mea et non táceat. * Dómine Deus meus, in ætérnum confitébor tibi.;afin que mon âme te chante et ne se taise pas. le Seigneur, mon Dieu, à jamais je te louerai. 
