Psalmus 96 (97);Psaume 96 (97)
Gloria Domini in iudicio;Gloire de Dieu dans sa justice
Hic psalmus salutem mundi significat et fidem omnium gentium in ipsum (S. Athanasius).;Ce psaume signifie le salut du monde et la foi de toute nation en lui (S. Athanase).
;
Dóminus regnávit! Exsúltet terra, * læténtur ínsulæ multæ.;Le Seigneur est roi : que la terre soit dans l'allégresse, que les îles nombreuses se réjouissent ! 
Nubes et calígo in circúitu eius, * iustítia et iudícium firmaméntum sedis eius.;La nuée et l'ombre l'environnent, la justice et l'équité sont la base de son trône. 
Ignis ante ipsum præcédet * et inflammábit in circúitu inimícos eius.;Le feu s'avance devant lui, et dévore à l'entour ses adversaires. 
Illustrárunt fúlgura eius orbem terræ: * vidit et contrémuit terra.;"Ses éclairs illuminent le monde ; la terre le voit et tremble. "
Montes sicut cera fluxérunt a fácie Dómini, * a fácie Dómini omnis terra.;Les montagnes se fondent comme la cire devant le Seigneur, devant le Seigneur de toute la terre. 
Annuntiavérunt cæli iustítiam eius, * et vidérunt omnes pópuli glóriam eius.;Les cieux proclament sa justice, et tous les peuples contemplent sa gloire. 
Confundántur omnes, qui adórant sculptília et qui gloriántur in simulácris suis. * Adoráte eum, omnes ángeli eius.;Ils seront confondus tous les adorateurs d'images, qui sont fiers de leurs idoles. Tous les dieux se prosternent devant lui. 
Audívit et lætáta est Sion, et exsultavérunt fíliæ Iudæ * propter iudícia tua, Dómine.;Sion a entendu et s'est réjouie, les filles de Juda sont dans l'allégresse, à cause de tes jugements, le Seigneur. 
Quóniam tu Dóminus, Altíssimus super omnem terram, * nimis exaltátus es super omnes deos.;Car toi, le Seigneur, tu es le Très-Haut sur toute la terre, tu es souverainement élevé au dessus de tous les dieux. 
"Qui dilígitis Dóminum, odíte malum; custódit ipse ánimas sanctórum suórum, * de manu peccatóris liberábit eos.";Vous qui aimez le Seigneur, haïssez le mal ! Il garde les âmes de ses fidèles, Il les délivre de la main des méchants.
Lux orta est iusto, * et rectis corde lætítia.;La lumière est semée pour le juste, et la joie pour ceux qui ont le cœur droit. 
Lætámini, iusti, in Dómino * et confitémini memóriæ sanctitátis eius;Justes, réjouissez-vous dans le Seigneur, et rendez gloire à son saint nom. 
