Psalmus 44 (45);Psaume 44 (45)
Regis nuptiæ;Chant nuptial pour le roi
"Ecce Sponsus venit; exite obviam ei (Mt 25, 6).";Voici l’époux, sortez à sa rencontre (Mt 25, 6).
I;I
Eructávit cor meum verbum bonum, dico ego ópera mea regi. * Língua mea cálamus scribæ velóciter scribéntis.;"De mon coeur jaillit un beau chant ; je dis : "" Mon oeuvre est pour un roi ! "" Ma langue est comme le roseau rapide du scribe, "
Speciósus forma es præ fíliis hóminum, diffúsa est grátia in lábiis tuis, * proptérea benedíxit te Deus in ætérnum.;"Tu es le plus beau des fils de l'homme, la grâce est répandue sur tes lèvres ; c'est pourquoi Dieu t'a béni pour toujours. "
Accíngere gládio tuo super femur tuum, potentíssime, * magnificéntia tua et ornátu tuo.;Ceins ton épée sur ta cuisse, ô héros, revêts ta splendeur et ta majesté.
Et ornátu tuo procéde, currum ascénde * propter veritátem et mansuetúdinem et iustítiam.;"Et dans ta majesté avance-toi, monte sur ton char, combats pour la vérité, la douceur et la justice ;"
Et dóceat te mirabília déxtera tua: sagíttæ tuæ acútæ —pópuli sub te cadent— * in corda inimicórum regis.;" et que ta droite te fasse accomplir des faits merveilleux. Tes flèches sont aiguës ; des peuples tomberont à tes pieds ; elles perceront le coeur des ennemis du roi. "
"Sedes tua, Deus, in sæculum sæculi; * sceptrum æquitátis sceptrum regni tui.";"Ton trône, ô Dieu, est établi pour toujours ; le sceptre de ta royauté est un sceptre de droiture. "
Dilexísti iustítiam et odísti iniquitátem, proptérea unxit te Deus, Deus tuus, * óleo lætítiæ præ consórtibus tuis.;Tu aimes la justice et tu hais l'iniquité : c'est pourquoi Dieu, ton Dieu, t'a oint d'une huile d'allégresse, de préférence à tes compagnons. 
"Myrrha et áloe et cásia ómnia vestiménta tua; * e dómibus ebúrneis chordæ deléctant te.";"La myrrhe, l'aloès et la casse s'exhalent de tous tes vêtements ; des palais d'ivoire, les lyres te réjouissent. "
"Fíliæ regum in pretiósis tuis; * ástitit regína a dextris tuis ornáta auro ex Ophir.";"Des filles de rois sont parmi tes bien-aimées ; la reine est à ta droite, parée de l'or d'Ophir. "
