Hymnus;Hymne
Te sæculórum príncipem,;C'est toi, Prince des siècles,
te, Christe, regem géntium,;c'est toi, Christ, roi des Nations,
te méntium, te córdium;c'est toi que nous reconnaissons
unum fatémur árbitrum.;pour l'unique arbitre des esprits et des coeurs.
; 
Quem prona adórant ágmina;Qui tend à glorifier mariée
hymnísque laudant cælitum,;chantant des hymnes à la gloire des cieux,
te nos ovántes ómnium;Nous avons tous nos ovations
regem suprémum dícimus.;Que nous disons au suprême roi. 
; 
O Christe, princeps pácifer,;O Christ, Prince qui portes la paix,
mentes rebélles súbice,;soumets les esprits rebelles,
tuóque amóre dévios;et ceux qui loin de ton amour s'égarent,
ovíle in unum cóngrega.;rassemble-les dans l'unique bercail.
;
Ad hoc cruénta ab árbore;À cette fin, l'arbre sanglant
pendes apértis brácchiis,;Ouvrant ses bras saignants,
diráque fossum cúspide;Présentant lance percée
cor igne flagrans éxhibes.;Montrant le coeur brûlant d'amour.
;
Ad hoc in aris ábderis;Pour ce faire, des autels
vini dapísque imágine,;et l'image du vin,
fundens salútem fíliis;Verser pour le salut de ses enfants
transverberáto péctore.;percé son coeur. 
;
Iesu, tibi sit glória,;O Jésus à vous soit la gloire,
qui cuncta amóre témperas,;qui gouvernez les sceptres du monde,
cum Patre et almo Spíritu;Comme au Père et à l'Esprit Saint,
in sempitérna sæcula. Amen.;dans les siècles éternels. Ainsi soit-il.
