LB_matin;LB_Is 1, 16-18;
benedictus;Thsaurizáte vobis thesáuros cælos, ubi nec ærúgo nec tínea demolítur.;Ammassez dans les cieux le trésor que ne rongent ni la rouille ni les vers.
oratio_laudes;Omnípotens sempitérne Deus, infirmitátem nostram propítius réspice, + atque ad protegéndum nos * déxteram tuæ maiestátis exténde. Per Dóminum.;Dieu fort, Dieu éternelle, regarde notre faiblesse : pour nous protéger, étends sur nous ta main toute-puissante.
LB_3;LB_Ap 3, 19-20;
oratio_3;Omnípotens sempitérne Deus, infirmitátem nostram propítius réspice, + atque ad protegéndum nos * déxteram tuæ maiestátis exténde. Per Dóminum.;Dieu fort, Dieu éternelle, regarde notre faiblesse : pour nous protéger, étends sur nous ta main toute-puissante.
LB_6;LB_Is 44, 21-22;
oratio_6;Omnípotens sempitérne Deus, infirmitátem nostram propítius réspice, + atque ad protegéndum nos * déxteram tuæ maiestátis exténde. Per Dóminum.;Dieu fort, Dieu éternelle, regarde notre faiblesse : pour nous protéger, étends sur nous ta main toute-puissante.
LB_9;LB_Gal 6, 7b-8;
oratio_9;Omnípotens sempitérne Deus, infirmitátem nostram propítius réspice, + atque ad protegéndum nos * déxteram tuæ maiestátis exténde. Per Dóminum.;Dieu fort, Dieu éternelle, regarde notre faiblesse : pour nous protéger, étends sur nous ta main toute-puissante.
LB_soir;LB_2 Cor 6, 1-4a;
magnificat;Non in solo pane vivit homo, sed in omni verbo quod procédit de ore Dei.;L'homme ne vit pas seulement de pain, mais de toute parole qui sort de la bouche de Dieu.
oratio_soir;Omnípotens sempitérne Deus, infirmitátem nostram propítius réspice, + atque ad protegéndum nos * déxteram tuæ maiestátis exténde. Per Dóminum.;Dieu fort, Dieu éternelle, regarde notre faiblesse : pour nous protéger, étends sur nous ta main toute-puissante.
RB_soir;R/. Atténde, Dómine, et miserére, * quia peccávimus tibi. <br /> V/. Exáudi, Christe, supplicántum preces. * quia peccávimus tibi. <br /> V/. Glória Patri.;R/. Écoute, Seigneur, et prends pitié, * car nous avons péché contre toi. <br /> V/. Écoute, ô Christ, les prières de ceux qui te supplient. * car nous avons péché contre toi. <br /> V/. Gloire au Père.
