jour;Die 24 novembris;Le 24 novembre
intitule;SS. ANDRAE DUNG LAC, PREBYTERI ET SOCIORUM, MARTYRUM;SS. ANDRE DUNG LAC, PRETRE, ET SES COMPAGNONS, MARTYRS
rang;Memoria;Mémoire
ant_invit;Regem mártyrum Dóminum, veníte, adorémus;Le roi des martyrs, le Seigneur, venez, adorons.
HYMNUS_laudes;hy_Ætérna Christi múnera;
LB_matin;LB_2 Cor 1, 3-5;
RB_matin;"R/. Iusti autem * In perpétuum vivent. Iusti. 
V/. Et apud Dóminum est merces eórum. * In perpétuum vivent. Glória Patri. Iusti.";"R/. Les justes * vivent éternellement. Les justes. 
V/. Et leur récompense est auprès du Seigneur. * Ils vivent éternellement. Gloire au Père. Les justes."
benedictus;Beáti qui persecutiónem patiúntur propter iustítiam, quóniam ipsórum est regnum cælórum.;Heureux ceux qui souffrent la persécution pour la justice, parce que le royaume des cieux est à eux.
oratio;Deus, omnis paternitátis fons et orígo, qui beátos mártyres Anfréam et sócios eius Cruci Fílii tui usque ad sánguinis effusiónem fidéles effecísti, eórum intercessióne concéde, ut amórem tuum inter fratres propagántes fílii tui nominári et esse valeámus. Per Dóminum.;Dieu, de qui vient toute paternité, qui as rendu les bienheureux martyrs André et ses compagnons fidèles à la Croix de ton Fils jusqu'à l'effusion de leur sang, accorde-nous, par leur intercession, de répandre ton amour parmi nos frères, afin d'être appelés tes fils, et de l'être en vérité.
HYMNUS_vesperas;hy_Sanctórum méritis ínclita gáudia;
LB_soir;LB_1 Petr 4, 13-14;
RB_soir;"R/. Lætámini in Dómino, * Et exsultáte, iusti. Lætámini. 
V/. Et gloriámini, omnes recti corde. * Et exsultáte, iusti. Glória Patri. Lætámini.
";"R/. Réjouissez-vous dans le Seigneur, * Justes, et soyez dans l'allégresse. Réjouissez-vous. 
V/. Poussez des cris de joie, vous tous qui avez le coeur droit. * Justes, et soyez dans l'allegresse. Gloire au Père. Réjouissez-vous."
magnificat;"Gaudent in cælis ánimæ sanctórum, qui Christi vestígia sunt secúti; et quia pro eius amóre sánguinem suum fudérunt, ídeo cum Christo regnábunt in ætérnum.";Les âmes des saints se réjouissent dans les cieux, qui ont suivi les pas du Christ. Et parcequ'à cause de son amour ils ont versé leur sang, ils règneront avec le Christ dans l'éternité.
