jour;Die 11 iulii;Le 11 juillet;
intitule;S. BENEDICTI, ABBATIS;S. BENOIT, ABBE;
rang;Memoria;Mémoire;
ant_invit;Mirábilem Deum in sanctis suis, veníte adorémus.;Les merveilles de Dieu dans ses saints, venez adorons.;
HYMNUS_laudes;hy_Légifer prudens, veneránde doctor;;
LB_matin;LB_Rom 12, 1-2;;
RB_matin;"R/. Lex Dei eius * In corde ipsíus. Lex. 
V/. Et non supplantabúntur gressus eius. * In corde ipsíus. Glória Patri. Lex.
";"R/. La loi de son Dieu * est dans son cœur. La loi. 
V/. Et ses pas ne chancellent point. * dans son coeur. Gloire au Père. La loi.
";
benedictus;Fuit vir vitæ venerábilis, grátia Benedíctus et nómine.;Il y eut un homme, de vie vénérable, nommé Benoît et béni par la grâce.;
oratio;Deus, qui beátum Benedíctum abbátem in schola divíni servítii præclárum constituísti magístrum, tríbue, quæsumus, ut, amóri tuo nihil præponéntes, viam mandatórum tuórum dilatáto corde currámus. Per Dóminum.;Dieu, qui as suscité le bienheureux Benoît pour comme maître d'une école de service divin, donne-nous, nous t'en prions, en ne préférant rien à ton amour, de courrir le cœur dilaté sur la voie de tes commandements.;
HYMNUS_vepres;hy_Inter ætérnas súperum corónas;;
LB_soir;LB_Rom 8, 28-30;;
RB_soir;"R/. Iustus Dóminus, * Et iustítiam diléxit. Iustus. 
V/. Æquitátem vidit vultus eius. * Et iustítiam diléxit. Glória Patri. Iustus.";"R/. Le Seigneur est juste, *  et il aime la justice. Le Seigneur. 
V/. L'équité est vue sur son visage. * Et il aime la justice. Gloire au Père. Le Seigneur.";
magnificat;"Hic accépit benedictiónem a Dómino et misericórdiam a Deo salutári suo; quia hæc est generátio quæréntium Dóminum.";"Il obtiendra la bénédiction du Seigneur, la justice du Dieu de son salut; car telle est la race de ceux qui cherchent le Seigneur.";Ps 23,6
