jour;Die 26 ianuarii;Le 26 janvier
intitule;SS. TIMOTHEI ET TITI, EPISCOPORUM;SS. THIMOTHEE ET TITE, EVEQUES
rang;Memoria;Mémoire
HYMNUS_laudes;hy_Inclitus rector pater atque prudens;
LB_matin;LB_Hebr 13, 7-9a;
RB_matin;"R/. Super te, Ierúsalem, * Constítui custódes. Super te. 
V/. Die ac nocte non tacébunt prædicáre nomen Dómini. * Constítui custódes. Glória Patri. Super te.";"R/. Sur toi, Jérusalem, * j'ai placé des sentinelles. Sur toi. 
V/. Jamais ni le jour ni la nuit, elles ne cesseront de prêcher le nom du Seigneur. * J'ai placé des sentinelles. Gloire au Père. Sur toi."
benedictus;Prædica verbum, insta opportúne, importúne: árgue, óbsecra, íncrepa in omni patiéntia et doctrína.;Prêche la parole, insiste à temps et à contretemps, reprends, censure, exhorte, avec une entière patience et (souci d')instruction. 
preces_matin;;
oratio;Deus, qui beátos Timótheum et Titum apostólicis virtútibus decorásti, utriúsque intercessióne concéde, ut, iuste et pie vivéntes in hoc sæculo, ad cæléstem mereámur pátriam perveníre. Per Dóminum.;Dieu qui as donné à Tite et à Timothée une vertu digne des Apôtres, fais que, soutenus par leurs prières, vivant avec justice et piété dans ce monde, nous parvenions au ciel, notre patrie.
HYMNUS_vepres;hy_Sacráta nobis gáudia;
LB_soir;LB_1 Petr 5, 1-4;
RB_soir;"R/. Hic est fratrum amátor, * Qui multum orat pro pópulo. Hic est. 
V/. Et ánimam suam trádidit pro frátribus suis. * Qui multum orat pro pópulo. Glória Patri. Hic est.";"R/. Celui-ci est l'ami de ses frères, * qui prie beaucoup pour le peuple. Celui-ci. 
V/. Et son âme est livrée pour ses frères. * qui prie beaucoup pour le peuple. Gloire au Père. Celui-ci."
magnificat;Iuste et pie vivámus, exspectántes beátam spem et advéntum Dómini.;Vivons avec justice et piété, en attendant la bienheureuse espérance et l'apparition du Seigneur.
preces_soir;;
