ora_coll;Adésto, Dómine, fámulis tuis, et perpétuam benignitátem largíre poscéntibus, ut his, qui te auctórem et gubernatórem gloriántur habére, et creáta restáures, et restauráta consérves. Per Dóminum.
ora_secr;Propítius, Dómine, quaesumus, haec dona sanctífica, et, hóstiae spiritális oblatióne suscépta, nosmetípsos tibi pérfice munus aetérnum. Per Christum.
ora_post;Quos caelésti récreas múnere, perpétuo, Dómine, comitáre praesídio, et, quos fovére non désinis, dignos fíeri sempitérna redemptióne concéde. Per Christum.
LM_1_A;LM_
LM_2_A;LM_
LM_3_A;LM_
LM_1_B;LM_
LM_2_B;LM_
LM_3_B;LM_
LM_1_C;LM_Qo 1,2 et 2,21-23
LM_2_C;LM_Col 3,1-5.9-11
LM_3_C;LM_Lc 12,13-21
